Date,StockSymbol,TransactionType,Shares,PricePerShare,TransactionValue
3/24/2021,KO,Sell,37,947.14,35044.18
3/24/2021,KO,Buy,43,695,29885
3/25/2021,NFLX,Cash Out,455,526.28,217527.9646
3/29/2021,AMZN,Sell,296,920.5,272468
3/29/2021,AAPL,Sell,458,480.83,220220.14
3/30/2021,PG,Sell,87,990.43,86167.41
4/1/2021,GOOGL,Cash Out,309,523.45,146933.3962
4/1/2021,ADBE,Sell,483,941.5,454744.5
4/1/2021,KO,Buy,67,776.36,52016.12
4/2/2021,JPM,Buy,463,148.1,68570.3
4/5/2021,PEP,Buy,229,845.36,193587.44
4/6/2021,AMZN,Buy,419,836.52,350501.88
4/6/2021,ADBE,Sell,155,942.09,146023.95
4/7/2021,NFLX,Buy,82,232.83,19092.06
4/8/2021,AAPL,Sell,294,358.23,105319.62
4/9/2021,MSFT,Buy,397,908.14,360531.58
4/9/2021,MSFT,Buy,498,900.59,448493.82
4/12/2021,ADBE,Sell,184,418.51,77005.84
4/13/2021,V,Buy,426,225.82,96199.32
4/14/2021,PYPL,Sell,94,877.36,82471.84
4/14/2021,NKE,Sell,110,608.65,66951.5
4/15/2021,PG,Cash Out,477,822.11,356233.8163
4/16/2021,PYPL,Buy,406,943.21,382943.26
4/16/2021,NKE,Buy,204,534.47,109031.88
4/19/2021,CRM,Cash Out,90,824.24,67388.07177
4/19/2021,NFLX,Sell,385,200.38,77146.3
4/21/2021,NFLX,Buy,363,300.16,108958.08
4/21/2021,KO,Buy,336,288.16,96821.76
4/21/2021,DIS,Buy,231,337.1,77870.1
4/22/2021,JPM,Buy,233,134.83,31415.39
4/22/2021,AMZN,Sell,400,929.68,371872
4/23/2021,WMT,Sell,307,863.15,264987.05
4/23/2021,AAPL,Sell,339,336.67,114131.13
4/26/2021,MSFT,Buy,416,735.62,306017.92
4/27/2021,AMZN,Cash Out,336,578.81,176669.7265
4/27/2021,MSFT,Buy,359,394.47,141614.73
4/28/2021,MSFT,Cash Out,351,492.1,156908.805
4/28/2021,V,Buy,339,210.92,71501.88
4/28/2021,CRM,Buy,220,231.49,50927.8
4/28/2021,DIS,Buy,20,689.99,13799.8
4/29/2021,PEP,Sell,119,454.12,54040.28
4/29/2021,FB,Cash Out,96,952.33,83051.12736
4/30/2021,PG,Buy,52,130.15,6767.8
5/3/2021,BA,Sell,303,396.68,120194.04
5/6/2021,NVDA,Buy,208,825.85,171776.8
5/7/2021,PG,Buy,153,938.43,143579.79
5/10/2021,DIS,Cash Out,148,766.96,103114.8616
5/11/2021,PG,Buy,472,575.14,271466.08
5/11/2021,AAPL,Buy,268,73.57,19716.76
5/12/2021,NVDA,Buy,288,625.32,180092.16
5/13/2021,NVDA,Buy,293,302.7,88691.1
5/13/2021,NKE,Buy,106,381.4,40428.4
5/17/2021,PG,Sell,492,969.08,476787.36
5/19/2021,FB,Sell,114,154.64,17628.96
5/24/2021,AMZN,Buy,278,515.22,143231.16
5/24/2021,BA,Sell,251,407.55,102295.05
5/25/2021,DIS,Cash Out,431,918.33,359552.966
5/25/2021,ADBE,Buy,51,880.86,44923.86
5/26/2021,FB,Sell,89,743.25,66149.25
5/27/2021,CRM,Sell,341,307.35,104806.35
5/28/2021,WMT,Buy,233,174.67,40698.11
5/31/2021,AAPL,Buy,393,574.42,225747.06
6/7/2021,ADBE,Buy,137,194.77,26683.49
6/8/2021,PEP,Buy,249,290.34,72294.66
6/10/2021,GOOGL,Buy,92,888.02,81697.84
6/11/2021,DIS,Buy,174,211.32,36769.68
6/14/2021,V,Cash Out,438,422.55,168127.6141
6/14/2021,JPM,Buy,102,455.3,46440.6
6/18/2021,NFLX,Cash Out,489,422.48,187673.0219
6/21/2021,ADBE,Buy,297,631.39,187522.83
6/23/2021,NVDA,Buy,109,292.31,31861.79
6/24/2021,NFLX,Buy,489,673.61,329395.29
6/25/2021,NVDA,Buy,115,821.18,94435.7
6/28/2021,BA,Sell,302,423.06,127764.12
6/28/2021,ADBE,Buy,470,893.25,419827.5
6/28/2021,TSLA,Sell,9,529.46,4765.14
6/29/2021,V,Sell,156,879.94,137270.64
7/2/2021,GOOGL,Buy,111,253.18,28102.98
7/2/2021,ADBE,Buy,366,605.59,221645.94
7/5/2021,WMT,Sell,115,628.36,72261.4
7/5/2021,JPM,Buy,162,775.05,125558.1
7/7/2021,PEP,Buy,93,804.49,74817.57
7/8/2021,FB,Buy,225,430.84,96939
7/9/2021,FB,Buy,90,660.95,59485.5
7/9/2021,PG,Cash Out,166,161.19,24307.09267
7/12/2021,AMZN,Sell,402,485.06,194994.12
7/13/2021,MSFT,Cash Out,271,837.32,206133.031
7/13/2021,ADBE,Buy,146,980.39,143136.94
7/14/2021,BA,Buy,34,277.63,9439.42
7/15/2021,AAPL,Sell,54,904.68,48852.72
7/16/2021,MSFT,Sell,408,381.25,155550
7/16/2021,CRM,Cash Out,271,166.06,40880.9668
7/16/2021,FB,Sell,432,880.25,380268
7/16/2021,FB,Sell,450,438.18,197181
7/19/2021,WMT,Sell,133,132.86,17670.38
7/20/2021,NFLX,Sell,310,442.72,137243.2
7/20/2021,PEP,Cash Out,189,920.5,158041.9685
7/21/2021,WMT,Buy,185,796.24,147304.4
7/21/2021,JPM,Sell,31,576.81,17881.11
7/21/2021,TSLA,Buy,388,919.64,356820.32
7/21/2021,FB,Buy,206,466.71,96142.26
7/22/2021,ADBE,Buy,391,458.54,179289.14
7/23/2021,V,Sell,458,674.1,308737.8
7/23/2021,AAPL,Buy,77,481.73,37093.21
7/23/2021,PEP,Sell,479,837.26,401047.54
7/23/2021,WMT,Buy,202,350.57,70815.14
7/26/2021,NVDA,Buy,79,633.1,50014.9
7/28/2021,KO,Buy,362,867.05,313872.1
7/28/2021,PG,Sell,199,943.76,187808.24
7/29/2021,GOOGL,Sell,38,923.96,35110.48
7/29/2021,V,Buy,11,580.36,6383.96
7/30/2021,BA,Buy,347,476,165172
8/2/2021,MSFT,Sell,70,357.57,25029.9
8/2/2021,JPM,Sell,4,337.25,1349
8/5/2021,JPM,Buy,345,462.18,159452.1
8/6/2021,V,Sell,306,639.12,195570.72
8/10/2021,NKE,Buy,225,922.28,207513
8/10/2021,ADBE,Cash Out,446,946.9,383641.7017
8/10/2021,JPM,Buy,37,460.04,17021.48
8/13/2021,JPM,Sell,263,596.1,156774.3
8/13/2021,KO,Buy,312,648.69,202391.28
8/16/2021,JPM,Cash Out,87,347.37,27453.54267
8/17/2021,AMZN,Sell,358,410.18,146844.44
8/19/2021,TSLA,Sell,413,852.14,351933.82
8/19/2021,ADBE,Buy,227,824.09,187068.43
8/19/2021,V,Sell,455,584.48,265938.4
8/19/2021,AMZN,Buy,38,271.06,10300.28
8/19/2021,NKE,Sell,234,123.49,28896.66
8/19/2021,JPM,Sell,76,227.92,17321.92
8/20/2021,ADBE,Sell,227,490.38,111316.26
8/23/2021,PYPL,Sell,362,933.94,338086.28
8/24/2021,PYPL,Buy,340,724.1,246194
8/24/2021,ADBE,Buy,3,811.9,2435.7
8/24/2021,WMT,Sell,480,810.28,388934.4
8/26/2021,PEP,Buy,99,156.72,15515.28
8/27/2021,NFLX,Sell,399,140.41,56023.59
8/30/2021,BA,Buy,418,752.08,314369.44
8/30/2021,BA,Cash Out,99,92.95,8359.329077
8/31/2021,ADBE,Buy,376,678.95,255285.2
8/31/2021,V,Buy,305,178.02,54296.1
9/3/2021,WMT,Buy,209,838.15,175173.35
9/3/2021,MSFT,Sell,473,672.58,318130.34
9/3/2021,NKE,Buy,434,398.93,173135.62
9/8/2021,CRM,Cash Out,87,652.3,51552.94321
9/9/2021,MSFT,Buy,204,361.75,73797
9/10/2021,PYPL,Sell,195,139.59,27220.05
9/10/2021,AMZN,Cash Out,157,376.19,53652.96568
9/13/2021,CRM,Buy,385,201.5,77577.5
9/14/2021,AAPL,Buy,244,313.27,76437.88
9/15/2021,ADBE,Buy,308,514.45,158450.6
9/17/2021,DIS,Buy,264,391.2,103276.8
9/20/2021,TSLA,Buy,489,86.07,42088.23
9/21/2021,NFLX,Sell,333,446.58,148711.14
9/28/2021,PYPL,Buy,227,402.19,91297.13
9/29/2021,PYPL,Sell,457,725.09,331366.13
9/30/2021,NFLX,Buy,367,206.86,75917.62
9/30/2021,NFLX,Buy,77,581.54,44778.58
9/30/2021,CRM,Sell,104,192.3,19999.2
10/1/2021,CRM,Buy,489,64.97,31770.33
10/5/2021,CRM,Buy,371,293.62,108933.02
10/5/2021,TSLA,Buy,388,222.13,86186.44
10/5/2021,ADBE,Cash Out,364,348.6,115269.816
10/6/2021,NVDA,Sell,440,362.73,159601.2
10/7/2021,V,Sell,399,226.97,90561.03
10/7/2021,NKE,Buy,50,394.66,19733
10/7/2021,MSFT,Sell,71,825.11,58582.81
10/7/2021,GOOGL,Cash Out,206,308.68,57764.70309
10/8/2021,NKE,Cash Out,178,790.04,127748.5314
10/8/2021,V,Cash Out,302,173.53,47606.72906
10/11/2021,PEP,Buy,227,758.98,172288.46
10/11/2021,NFLX,Buy,239,253.71,60636.69
10/12/2021,JPM,Buy,312,239.08,74592.96
10/12/2021,ADBE,Buy,213,517.21,110165.73
10/12/2021,CRM,Buy,38,777.12,29530.56
10/13/2021,BA,Sell,235,492.57,115753.95
10/13/2021,JPM,Sell,458,897.12,410880.96
10/15/2021,AAPL,Cash Out,156,409.57,58041.62594
10/15/2021,TSLA,Sell,33,911.12,30066.96
10/18/2021,PG,Buy,374,933.54,349143.96
10/18/2021,AMZN,Buy,142,373.06,52974.52
10/18/2021,PG,Buy,270,95.47,25776.9
10/18/2021,NFLX,Buy,88,997.34,87765.92
10/20/2021,V,Sell,422,171.08,72195.76
10/28/2021,ADBE,Buy,202,263.05,53136.1
10/29/2021,BA,Cash Out,452,394.42,161951.21
10/29/2021,KO,Sell,77,296.03,22794.31
10/29/2021,PYPL,Sell,22,956.16,21035.52
10/29/2021,TSLA,Sell,248,169.56,42050.88
11/2/2021,BA,Buy,66,258.43,17056.38
11/2/2021,PG,Buy,466,664.04,309442.64
11/3/2021,KO,Sell,216,96.22,20783.52
11/8/2021,NKE,Buy,166,655.26,108773.16
11/10/2021,NVDA,Sell,404,553.77,223723.08
11/12/2021,GOOGL,Buy,220,280.19,61641.8
11/17/2021,ADBE,Buy,319,150.5,48009.5
11/17/2021,AAPL,Buy,3,86.37,259.11
11/18/2021,DIS,Buy,405,178.03,72102.15
11/18/2021,FB,Buy,416,833.06,346552.96
11/19/2021,KO,Sell,291,295.55,86005.05
11/19/2021,FB,Sell,339,412.91,139976.49
11/19/2021,NVDA,Buy,256,138.19,35376.64
11/22/2021,NVDA,Sell,163,622.84,101522.92
11/23/2021,GOOGL,Buy,185,306.88,56772.8
11/23/2021,JPM,Buy,128,891.61,114126.08
11/24/2021,CRM,Buy,448,180.52,80872.96
11/24/2021,ADBE,Sell,431,61.08,26325.48
11/25/2021,PG,Sell,435,91.3,39715.5
11/25/2021,V,Buy,94,953.51,89629.94
11/25/2021,AAPL,Buy,457,166.53,76104.21
11/26/2021,DIS,Buy,444,467.18,207427.92
11/29/2021,CRM,Buy,267,75.19,20075.73
11/30/2021,WMT,Sell,88,953.57,83914.16
11/30/2021,TSLA,Buy,478,588.39,281250.42
12/1/2021,TSLA,Sell,485,865.01,419529.85
12/1/2021,NKE,Sell,416,51.48,21415.68
12/6/2021,DIS,Buy,190,720.37,136870.3
12/6/2021,KO,Sell,314,652.88,205004.32
12/8/2021,NFLX,Buy,77,559.55,43085.35
12/9/2021,V,Sell,235,958.84,225327.4
12/13/2021,KO,Buy,254,73.87,18762.98
12/14/2021,TSLA,Sell,113,368,41584
12/14/2021,AMZN,Buy,54,143.25,7735.5
12/15/2021,AMZN,Sell,129,820.63,105861.27
12/15/2021,NKE,Cash Out,413,986.44,370090.1783
12/17/2021,GOOGL,Cash Out,230,599.77,125313.9468
12/20/2021,BA,Cash Out,57,496.1,25688.03689
12/21/2021,NVDA,Buy,39,560.59,21863.01
12/23/2021,WMT,Sell,370,317.54,117489.8
12/23/2021,NFLX,Sell,48,81.94,3933.12
12/24/2021,DIS,Buy,100,450.26,45026
12/24/2021,BA,Sell,7,529.83,3708.81
12/27/2021,ADBE,Buy,187,453.61,84825.07
12/27/2021,DIS,Buy,450,193.32,86994
12/28/2021,KO,Buy,431,109.24,47082.44
12/28/2021,KO,Buy,297,941.15,279521.55
12/28/2021,AMZN,Sell,227,566.72,128645.44
12/29/2021,BA,Sell,118,239.75,28290.5
12/29/2021,PG,Sell,432,651.21,281322.72
12/30/2021,NFLX,Sell,485,961.44,466298.4
12/30/2021,PYPL,Buy,139,232,32248
12/30/2021,PEP,Sell,148,187.33,27724.84
12/30/2021,ADBE,Cash Out,474,508.09,218779.0955
12/31/2021,AMZN,Buy,34,944.79,32122.86
12/31/2021,PYPL,Buy,402,537.85,216215.7
1/3/2022,JPM,Sell,316,608.25,192207
1/4/2022,PEP,Sell,221,772.34,170687.14
1/4/2022,NVDA,Buy,128,779.07,99720.96
1/4/2022,AAPL,Buy,340,209.24,71141.6
1/6/2022,KO,Sell,17,107.82,1832.94
1/6/2022,KO,Sell,135,290.26,39185.1
1/10/2022,BA,Buy,489,427.45,209023.05
1/10/2022,AMZN,Buy,421,333.78,140521.38
1/11/2022,GOOGL,Buy,46,188.16,8655.36
1/12/2022,MSFT,Cash Out,304,388.02,107155.5151
1/12/2022,ADBE,Buy,166,676.92,112368.72
1/12/2022,PG,Sell,327,776.77,254003.79
1/14/2022,NVDA,Buy,483,198.88,96059.04
1/17/2022,WMT,Buy,490,942.59,461869.1
1/18/2022,TSLA,Sell,89,166.64,14830.96
1/19/2022,WMT,Buy,254,70.55,17919.7
1/19/2022,TSLA,Cash Out,193,311.61,54633.06035
1/20/2022,BA,Buy,488,222.33,108497.04
1/20/2022,ADBE,Sell,478,883.01,422078.78
1/20/2022,BA,Buy,76,420.12,31929.12
1/20/2022,NFLX,Buy,278,373.18,103744.04
1/20/2022,BA,Cash Out,371,390.42,131580.8841
1/24/2022,NFLX,Sell,286,885.47,253244.42
1/24/2022,BA,Sell,448,710.04,318097.92
1/24/2022,BA,Buy,371,157.84,58558.64
1/25/2022,JPM,Buy,149,887.05,132170.45
1/25/2022,ADBE,Buy,251,104.45,26216.95
1/25/2022,NFLX,Sell,30,873.57,26207.1
1/26/2022,WMT,Buy,236,817.4,192906.4
1/26/2022,NFLX,Sell,383,643.49,246456.67
1/27/2022,MSFT,Cash Out,364,322.83,106748.5792
1/27/2022,NKE,Sell,166,292.54,48561.64
2/1/2022,DIS,Buy,366,221.36,81017.76
2/1/2022,AMZN,Buy,274,65.72,18007.28
2/1/2022,CRM,Sell,111,89.46,9930.06
2/3/2022,DIS,Sell,389,770.85,299860.65
2/3/2022,WMT,Sell,267,567.84,151613.28
2/4/2022,AMZN,Sell,344,578.3,198935.2
2/4/2022,WMT,Sell,145,720.56,104481.2
2/4/2022,NVDA,Sell,364,920.81,335174.84
2/4/2022,PEP,Buy,187,630.89,117976.43
2/9/2022,NVDA,Sell,166,542.99,90136.34
2/10/2022,GOOGL,Buy,79,665.97,52611.63
2/11/2022,AMZN,Cash Out,294,80.23,21427.47298
2/14/2022,PYPL,Buy,132,331.57,43767.24
2/14/2022,AAPL,Sell,212,124.44,26381.28
2/15/2022,GOOGL,Sell,98,420.38,41197.24
2/16/2022,PYPL,Sell,442,204.14,90229.88
2/16/2022,NKE,Buy,431,637.49,274758.19
2/16/2022,TSLA,Cash Out,98,456.21,40614.18192
2/16/2022,V,Buy,71,296.75,21069.25
2/17/2022,DIS,Sell,294,392.19,115303.86
2/18/2022,JPM,Sell,60,106.85,6411
2/21/2022,DIS,Buy,247,912.38,225357.86
2/22/2022,TSLA,Buy,383,239.9,91881.7
2/23/2022,NFLX,Sell,111,653.85,72577.35
2/24/2022,AMZN,Buy,308,369.32,113750.56
2/24/2022,GOOGL,Buy,427,233.7,99789.9
2/25/2022,CRM,Sell,133,322.6,42905.8
2/25/2022,PYPL,Buy,92,414.25,38111
2/28/2022,NVDA,Sell,460,190.6,87676
2/28/2022,AAPL,Cash Out,142,959,123706.8604
2/28/2022,CRM,Buy,119,608.16,72371.04
3/1/2022,TSLA,Sell,258,75.39,19450.62
3/4/2022,NFLX,Buy,312,473.93,147866.16
3/7/2022,BA,Buy,30,418.74,12562.2
3/8/2022,TSLA,Sell,489,703.2,343864.8
3/8/2022,PYPL,Buy,284,727.2,206524.8
3/8/2022,NFLX,Sell,6,358.01,2148.06
3/9/2022,PEP,Buy,498,617.91,307719.18
3/9/2022,CRM,Buy,482,829.84,399982.88
3/14/2022,TSLA,Buy,433,954.9,413471.7
3/14/2022,GOOGL,Sell,272,337.64,91838.08
3/15/2022,PEP,Sell,361,661.39,238761.79
3/15/2022,NFLX,Buy,427,915.8,391046.6
3/16/2022,KO,Buy,13,769.74,10006.62
3/18/2022,V,Sell,293,839.37,245935.41
3/18/2022,PEP,Buy,236,413.11,97493.96
3/18/2022,JPM,Sell,491,126.14,61934.74
3/18/2022,WMT,Buy,125,393.02,49127.5
3/18/2022,NKE,Buy,31,317.81,9852.11
3/21/2022,PYPL,Sell,414,676.83,280207.62
3/21/2022,NKE,Buy,228,644.33,146907.24
3/22/2022,GOOGL,Sell,237,917.2,217376.4
3/23/2022,JPM,Sell,358,361.03,129248.74
3/23/2022,CRM,Buy,157,813.85,127774.45
3/24/2022,GOOGL,Sell,122,315.16,38449.52
3/24/2022,NFLX,Buy,427,718.22,306679.94
3/24/2022,KO,Buy,234,253.01,59204.34
3/25/2022,MSFT,Sell,7,337.33,2361.31
3/28/2022,TSLA,Buy,276,656.76,181265.76
3/28/2022,PEP,Sell,100,692.86,69286
3/28/2022,MSFT,Buy,8,601.78,4814.24
3/30/2022,MSFT,Sell,183,444,81252
3/31/2022,ADBE,Buy,375,154.98,58117.5
4/1/2022,V,Sell,196,157.98,30964.08
4/1/2022,WMT,Buy,427,828.37,353713.99
4/5/2022,PG,Cash Out,141,495.73,63496.69896
4/6/2022,NFLX,Buy,224,410.58,91969.92
4/8/2022,WMT,Buy,419,250.43,104930.17
4/11/2022,KO,Sell,386,334.77,129221.22
4/12/2022,JPM,Buy,368,365.16,134378.88
4/13/2022,PYPL,Buy,16,297.94,4767.04
4/14/2022,V,Buy,304,286.78,87181.12
4/14/2022,MSFT,Buy,176,333.48,58692.48
4/20/2022,FB,Buy,193,186.68,36029.24
4/21/2022,PEP,Sell,263,598.26,157342.38
4/21/2022,ADBE,Cash Out,267,383.46,93007.54109
4/22/2022,PYPL,Sell,226,875.54,197872.04
4/25/2022,WMT,Cash Out,481,716.92,313258.3138
4/25/2022,TSLA,Sell,386,442.05,170631.3
4/26/2022,PEP,Buy,280,252.11,70590.8
4/28/2022,BA,Buy,441,979.84,432109.44
4/28/2022,AMZN,Sell,378,98.89,37380.42
4/28/2022,PEP,Buy,201,496.89,99874.89
4/29/2022,GOOGL,Buy,91,960.04,87363.64
4/29/2022,BA,Sell,456,802.17,365789.52
5/2/2022,FB,Cash Out,404,902.12,331079.6671
5/3/2022,NFLX,Buy,80,495.64,39651.2
5/3/2022,AAPL,Buy,70,757.14,52999.8
5/5/2022,NKE,Cash Out,77,708.12,49531.8352
5/5/2022,PEP,Sell,254,730.37,185513.98
5/6/2022,ADBE,Buy,154,569.72,87736.88
5/9/2022,PEP,Buy,292,200.26,58475.92
5/10/2022,TSLA,Buy,37,408.18,15102.66
5/11/2022,NVDA,Buy,482,476.86,229846.52
5/12/2022,AMZN,Sell,65,369.91,24044.15
5/12/2022,PG,Buy,360,380.6,137016
5/12/2022,NKE,Buy,199,731.87,145642.13
5/12/2022,WMT,Sell,8,820.75,6566
5/12/2022,BA,Buy,126,963.52,121403.52
5/13/2022,V,Buy,440,700.63,308277.2
5/13/2022,PEP,Sell,227,312.12,70851.24
5/13/2022,BA,Sell,46,389.99,17939.54
5/16/2022,PG,Cash Out,175,248.26,39466.7744
5/16/2022,ADBE,Cash Out,309,373.35,104800.0449
5/18/2022,AMZN,Buy,180,186.41,33553.8
5/18/2022,JPM,Buy,6,544.73,3268.38
5/18/2022,AAPL,Cash Out,399,240.64,87222.30271
5/19/2022,GOOGL,Sell,465,276.56,128600.4
5/20/2022,ADBE,Buy,16,791.64,12666.24
5/20/2022,PYPL,Sell,221,683.43,151038.03
5/23/2022,PYPL,Sell,286,535.63,153190.18
5/23/2022,NKE,Buy,279,435.48,121498.92
5/24/2022,JPM,Buy,488,959.74,468353.12
5/24/2022,GOOGL,Cash Out,337,619.86,189762.4795
5/25/2022,CRM,Buy,91,383.54,34902.14
5/25/2022,ADBE,Buy,358,280.94,100576.52
5/25/2022,GOOGL,Sell,396,702.47,278178.12
5/25/2022,AMZN,Sell,61,59.96,3657.56
5/26/2022,ADBE,Sell,198,362.07,71689.86
5/27/2022,V,Buy,335,360,120600
5/27/2022,NFLX,Sell,37,459.97,17018.89
5/30/2022,FB,Buy,45,736.84,33157.8
5/31/2022,KO,Buy,489,703.12,343825.68
5/31/2022,KO,Buy,17,511.93,8702.81
5/31/2022,WMT,Sell,90,902.31,81207.9
6/1/2022,TSLA,Cash Out,373,696.43,235978.8803
6/2/2022,KO,Buy,179,723.59,129522.61
6/15/2022,PYPL,Buy,138,827.19,114152.22
6/16/2022,GOOGL,Buy,59,81.49,4807.91
6/16/2022,NVDA,Buy,359,566.76,203466.84
6/16/2022,NFLX,Sell,52,54.05,2810.6
6/17/2022,AAPL,Cash Out,269,331.57,81024.12371
6/17/2022,PEP,Sell,51,954.07,48657.57
6/17/2022,BA,Sell,344,508.57,174948.08
6/20/2022,NKE,Cash Out,225,674.56,137876.4004
6/21/2022,KO,Cash Out,401,758.58,276332.8998
6/22/2022,PYPL,Sell,392,860.51,337319.92
6/23/2022,PG,Buy,257,776.65,199599.05
6/24/2022,NVDA,Buy,451,878.78,396329.78
6/24/2022,CRM,Sell,246,587.37,144493.02
6/24/2022,GOOGL,Sell,286,779.15,222836.9
6/29/2022,NVDA,Buy,295,994.38,293342.1
6/30/2022,WMT,Sell,496,155.33,77043.68
6/30/2022,KO,Buy,418,903.79,377784.22
6/30/2022,DIS,Cash Out,304,865.57,239035.6147
7/1/2022,ADBE,Buy,44,171.74,7556.56
7/4/2022,V,Buy,388,115.45,44794.6
7/6/2022,NKE,Sell,450,64.51,29029.5
7/6/2022,TSLA,Buy,4,831.08,3324.32
7/7/2022,GOOGL,Buy,154,529.73,81578.42
7/8/2022,NVDA,Buy,113,387.24,43758.12
7/12/2022,PG,Sell,216,99.29,21446.64
7/14/2022,ADBE,Buy,199,559.28,111296.72
7/14/2022,AAPL,Buy,31,336.55,10433.05
7/14/2022,TSLA,Buy,302,801.86,242161.72
7/15/2022,FB,Sell,45,779.04,35056.8
7/15/2022,CRM,Sell,216,209.67,45288.72
7/15/2022,NVDA,Sell,441,604.92,266769.72
7/15/2022,NFLX,Sell,475,281.16,133551
7/15/2022,NKE,Buy,432,713.11,308063.52
7/18/2022,AAPL,Cash Out,335,251.77,76618.84844
7/18/2022,GOOGL,Buy,29,977.81,28356.49
7/19/2022,PG,Cash Out,244,360.96,80008.42805
7/20/2022,AMZN,Cash Out,142,322.63,41617.87735
7/21/2022,PEP,Cash Out,257,958.59,223796.2736
7/25/2022,NFLX,Buy,121,384.45,46518.45
7/25/2022,GOOGL,Buy,83,908.11,75373.13
7/27/2022,WMT,Sell,430,659.43,283554.9
7/27/2022,WMT,Buy,76,85.04,6463.04
7/27/2022,BA,Buy,404,68.1,27512.4
7/29/2022,GOOGL,Sell,470,896.54,421373.8
8/1/2022,ADBE,Buy,459,211.01,96853.59
8/1/2022,AAPL,Sell,379,401.57,152195.03
